,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Age,Cluster
12,Graduation,Single,63033.0,0.0,0.0,2013-11-15,82.0,194.0,61.0,480.0,225.0,112.0,30.0,1.0,3.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,1
13,Master,Single,59354.0,1.0,1.0,2013-11-15,53.0,233.0,2.0,53.0,3.0,5.0,14.0,3.0,6.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0
14,Graduation,Partner,17323.0,0.0,0.0,2012-10-10,38.0,3.0,14.0,17.0,6.0,1.0,5.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0
15,PhD,Single,82800.0,0.0,0.0,2012-11-24,23.0,1006.0,22.0,115.0,59.0,68.0,45.0,1.0,7.0,6.0,12.0,0.0,0.0,1.0,1.0,0.0,1.0,78.0,1
16,Graduation,Partner,41850.0,1.0,1.0,2012-12-24,51.0,53.0,5.0,19.0,2.0,13.0,4.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0
17,Graduation,Partner,37760.0,0.0,0.0,2012-08-31,20.0,84.0,5.0,38.0,150.0,12.0,28.0,2.0,4.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,2
18,Master,Partner,76995.0,0.0,1.0,2013-03-28,91.0,1012.0,80.0,498.0,0.0,16.0,176.0,2.0,11.0,4.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,75.0,1
19,UnderGraduate,Single,33812.0,1.0,0.0,2012-11-03,86.0,4.0,17.0,19.0,30.0,24.0,39.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0
20,Graduation,Partner,37040.0,0.0,0.0,2012-08-08,41.0,86.0,2.0,73.0,69.0,38.0,48.0,1.0,4.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0
21,Graduation,Partner,2447.0,1.0,0.0,2013-01-06,42.0,1.0,1.0,1725.0,1.0,1.0,1.0,15.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,2
22,PhD,Partner,58607.0,0.0,1.0,2012-12-23,63.0,867.0,0.0,86.0,0.0,0.0,19.0,3.0,2.0,3.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,75.0,2
23,PhD,Partner,65324.0,0.0,1.0,2014-01-11,0.0,384.0,0.0,102.0,21.0,32.0,5.0,3.0,6.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,2
24,Graduation,Partner,40689.0,0.0,1.0,2013-03-18,69.0,270.0,3.0,27.0,39.0,6.0,99.0,7.0,7.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,2
25,Graduation,Single,18589.0,0.0,0.0,2013-01-02,89.0,6.0,4.0,25.0,15.0,12.0,13.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0
26,Graduation,Partner,53359.0,1.0,1.0,2013-05-27,4.0,173.0,4.0,30.0,3.0,6.0,41.0,4.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0
27,Graduation,Single,52247.25135379061,1.0,0.0,2013-02-20,19.0,5.0,1.0,3.0,3.0,263.0,362.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,1
28,Graduation,Partner,38360.0,1.0,0.0,2013-05-31,26.0,36.0,2.0,42.0,20.0,21.0,10.0,2.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0
29,PhD,Partner,84618.0,0.0,0.0,2013-11-22,96.0,684.0,100.0,801.0,21.0,66.0,0.0,1.0,6.0,9.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,59.0,1
30,Master,Single,10979.0,0.0,0.0,2014-05-22,34.0,8.0,4.0,10.0,2.0,2.0,4.0,2.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0
31,Master,Partner,38620.0,0.0,0.0,2013-05-11,56.0,112.0,17.0,44.0,34.0,22.0,89.0,1.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,2
32,Graduation,Partner,40548.0,0.0,1.0,2012-10-10,31.0,110.0,0.0,5.0,2.0,0.0,3.0,2.0,2.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,54.0,0
33,PhD,Single,46610.0,0.0,2.0,2012-10-29,8.0,96.0,12.0,96.0,33.0,22.0,43.0,6.0,4.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,72.0,2
34,Master,Partner,68657.0,0.0,0.0,2013-02-20,4.0,482.0,34.0,471.0,119.0,68.0,22.0,1.0,3.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,1
35,Master,Single,49389.0,1.0,1.0,2013-08-29,55.0,40.0,0.0,19.0,2.0,1.0,3.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0
36,PhD,Partner,67353.0,0.0,1.0,2013-12-31,37.0,702.0,17.0,151.0,0.0,8.0,35.0,5.0,5.0,6.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,2
37,UnderGraduate,Partner,23718.0,1.0,0.0,2013-09-02,76.0,6.0,3.0,14.0,15.0,7.0,36.0,3.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0
38,Graduation,Single,42429.0,0.0,1.0,2014-02-11,99.0,55.0,0.0,6.0,2.0,0.0,4.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0
39,PhD,Single,48948.0,0.0,0.0,2013-02-01,53.0,437.0,8.0,206.0,160.0,49.0,42.0,2.0,7.0,10.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,81.0,1
40,Graduation,Partner,80011.0,0.0,1.0,2013-04-29,3.0,421.0,76.0,536.0,82.0,178.0,102.0,2.0,8.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,1
41,Master,Partner,20559.0,1.0,0.0,2013-03-12,88.0,13.0,1.0,29.0,3.0,0.0,7.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0
42,Graduation,Partner,21994.0,0.0,1.0,2012-12-24,4.0,9.0,0.0,6.0,3.0,1.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0
43,PhD,Single,52247.25135379061,0.0,0.0,2013-11-05,80.0,81.0,11.0,50.0,3.0,2.0,39.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0
44,Master,Partner,7500.0,1.0,0.0,2013-10-02,19.0,3.0,1.0,10.0,3.0,2.0,12.0,3.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0
45,Graduation,Single,79941.0,0.0,0.0,2014-06-28,72.0,123.0,164.0,266.0,227.0,30.0,174.0,1.0,2.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,1
46,UnderGraduate,Partner,7500.0,0.0,0.0,2012-11-09,24.0,3.0,18.0,14.0,15.0,22.0,50.0,3.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,0
47,Graduation,Partner,41728.0,1.0,0.0,2013-05-24,92.0,13.0,6.0,15.0,3.0,5.0,13.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0
48,Graduation,Single,52247.25135379061,2.0,1.0,2014-01-01,96.0,48.0,5.0,48.0,6.0,10.0,7.0,3.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0
49,PhD,Partner,72550.0,1.0,1.0,2012-11-08,39.0,826.0,50.0,317.0,50.0,38.0,38.0,9.0,5.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,2
50,Graduation,Single,65486.0,0.0,1.0,2014-05-12,29.0,245.0,19.0,125.0,37.0,67.0,14.0,1.0,4.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,2
51,Master,Partner,79143.0,0.0,0.0,2012-08-11,2.0,650.0,37.0,780.0,27.0,167.0,32.0,1.0,6.0,9.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,1
52,Graduation,Single,35790.0,1.0,0.0,2013-01-02,54.0,12.0,6.0,20.0,30.0,1.0,3.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0
53,Graduation,Single,82582.0,0.0,0.0,2014-06-07,54.0,510.0,120.0,550.0,156.0,40.0,241.0,1.0,4.0,9.0,7.0,1.0,0.0,0.0,1.0,0.0,1.0,47.0,1
54,Graduation,Partner,66373.0,1.0,1.0,2013-06-12,57.0,328.0,9.0,124.0,12.0,24.0,109.0,7.0,4.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,2
55,Master,Partner,82384.0,0.0,0.0,2012-11-19,55.0,984.0,51.0,432.0,180.0,120.0,190.0,1.0,3.0,10.0,13.0,0.0,0.0,1.0,0.0,0.0,1.0,69.0,1
56,Graduation,Single,70287.0,0.0,0.0,2013-04-02,30.0,295.0,35.0,482.0,121.0,120.0,40.0,1.0,5.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,58.0,1
57,Graduation,Single,27938.0,1.0,0.0,2014-04-28,31.0,13.0,0.0,8.0,2.0,1.0,5.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0
58,Graduation,Single,52247.25135379061,1.0,0.0,2013-06-17,57.0,11.0,3.0,22.0,2.0,2.0,6.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0
59,PhD,Partner,55954.0,0.0,1.0,2014-03-03,63.0,447.0,0.0,28.0,0.0,0.0,43.0,3.0,8.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,2
60,Master,Single,75777.0,0.0,0.0,2013-07-04,12.0,712.0,26.0,538.0,69.0,13.0,80.0,1.0,3.0,6.0,11.0,0.0,1.0,1.0,0.0,0.0,1.0,42.0,1
61,Graduation,Partner,66653.0,1.0,1.0,2012-09-07,18.0,452.0,18.0,102.0,16.0,18.0,6.0,4.0,4.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,2
62,Graduation,Single,61823.0,0.0,1.0,2013-02-18,26.0,523.0,7.0,134.0,37.0,14.0,169.0,4.0,8.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,2
63,PhD,Single,67680.0,0.0,1.0,2013-06-11,8.0,546.0,0.0,48.0,0.0,6.0,6.0,1.0,7.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,2
64,Graduation,Partner,70666.0,0.0,0.0,2013-12-06,29.0,398.0,40.0,367.0,119.0,122.0,30.0,1.0,7.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,1
65,Graduation,Partner,25721.0,1.0,0.0,2013-05-21,75.0,1.0,3.0,6.0,3.0,6.0,15.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,53.0,0
66,Graduation,Partner,32474.0,1.0,1.0,2014-05-11,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0
67,UnderGraduate,Single,88194.0,0.0,1.0,2014-03-19,19.0,688.0,14.0,309.0,201.0,24.0,38.0,1.0,11.0,10.0,10.0,1.0,0.0,0.0,1.0,0.0,1.0,45.0,1
68,Graduation,Partner,69096.0,0.0,1.0,2013-09-27,4.0,247.0,49.0,159.0,7.0,82.0,109.0,1.0,5.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,1
69,Graduation,Partner,74854.0,1.0,2.0,2013-04-08,90.0,856.0,59.0,487.0,58.0,29.0,73.0,7.0,2.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,2
70,Master,Partner,66991.0,0.0,0.0,2012-09-11,1.0,496.0,36.0,460.0,189.0,60.0,12.0,3.0,4.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,1
71,UnderGraduate,Partner,52247.25135379061,1.0,0.0,2012-09-14,25.0,25.0,3.0,43.0,17.0,4.0,17.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0
72,Graduation,Partner,65031.0,0.0,1.0,2013-03-17,29.0,258.0,107.0,291.0,84.0,37.0,86.0,4.0,10.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,1
73,PhD,Partner,60631.0,1.0,1.0,2013-04-05,88.0,565.0,6.0,65.0,0.0,6.0,19.0,5.0,9.0,2.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,49.0,2
74,Graduation,Partner,28332.0,0.0,0.0,2014-04-30,58.0,14.0,10.0,13.0,4.0,15.0,9.0,1.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0
75,Graduation,Single,40246.0,1.0,0.0,2012-12-19,68.0,2.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0
76,Master,Partner,75251.0,0.0,0.0,2012-08-27,34.0,721.0,111.0,925.0,97.0,18.0,18.0,1.0,7.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,52.0,1
77,Graduation,Single,75825.0,0.0,0.0,2012-10-12,40.0,1032.0,105.0,779.0,137.0,105.0,51.0,0.0,5.0,8.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,48.0,1
78,UnderGraduate,Partner,26326.0,0.0,0.0,2013-09-04,12.0,1.0,0.0,5.0,0.0,3.0,9.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0
79,Graduation,Partner,56046.0,0.0,0.0,2013-01-02,9.0,577.0,0.0,64.0,0.0,0.0,51.0,2.0,10.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,59.0,2
80,Graduation,Single,29760.0,1.0,0.0,2012-08-29,87.0,64.0,4.0,68.0,7.0,5.0,17.0,4.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0
81,Graduation,Partner,26304.0,1.0,0.0,2013-06-23,5.0,4.0,1.0,5.0,2.0,0.0,4.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0
82,UnderGraduate,Partner,23559.0,1.0,0.0,2013-07-03,87.0,25.0,5.0,19.0,7.0,0.0,23.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0
83,Master,Partner,38620.0,0.0,0.0,2013-05-11,56.0,112.0,17.0,44.0,34.0,22.0,89.0,1.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,2
84,Graduation,Single,81361.0,0.0,0.0,2014-02-25,18.0,163.0,23.0,424.0,27.0,65.0,76.0,1.0,3.0,10.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,1
85,Graduation,Partner,29440.0,1.0,1.0,2013-08-11,95.0,17.0,8.0,14.0,10.0,4.0,3.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0
86,Master,Partner,36138.0,1.0,1.0,2013-07-16,48.0,130.0,0.0,16.0,0.0,0.0,5.0,5.0,3.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,54.0,0
87,Graduation,Single,50388.0,0.0,1.0,2014-05-28,3.0,292.0,6.0,37.0,0.0,3.0,34.0,4.0,6.0,1.0,6.0,0.0,1.0,0.0,1.0,0.0,1.0,67.0,2
88,Graduation,Partner,79593.0,0.0,0.0,2014-05-12,70.0,350.0,60.0,568.0,110.0,133.0,145.0,1.0,5.0,6.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,51.0,1
89,Graduation,Partner,54178.0,0.0,1.0,2014-01-21,79.0,135.0,9.0,39.0,4.0,0.0,7.0,1.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0
90,PhD,Partner,52247.25135379061,2.0,1.0,2012-11-19,4.0,230.0,42.0,192.0,49.0,37.0,53.0,12.0,7.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,2
91,Graduation,Single,52247.25135379061,1.0,1.0,2014-05-27,45.0,7.0,0.0,8.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0
92,Master,Partner,52247.25135379061,0.0,0.0,2013-11-23,87.0,445.0,37.0,359.0,98.0,28.0,18.0,1.0,2.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,1
93,Master,Single,42394.0,1.0,0.0,2014-03-23,69.0,15.0,2.0,10.0,0.0,1.0,4.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0
94,PhD,Partner,23626.0,1.0,0.0,2014-05-24,84.0,27.0,2.0,14.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0
95,Graduation,Partner,30096.0,1.0,0.0,2014-05-22,30.0,5.0,3.0,11.0,12.0,5.0,9.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0
96,Graduation,Single,47916.0,0.0,1.0,2012-11-22,72.0,505.0,0.0,26.0,0.0,0.0,75.0,5.0,7.0,4.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,64.0,2
97,Graduation,Single,51813.0,1.0,1.0,2013-04-11,37.0,51.0,2.0,7.0,0.0,1.0,2.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0
98,UnderGraduate,Partner,78497.0,0.0,0.0,2013-12-01,44.0,207.0,26.0,447.0,75.0,0.0,223.0,1.0,5.0,7.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,73.0,1
99,PhD,Partner,50150.0,0.0,0.0,2013-06-20,32.0,135.0,46.0,92.0,65.0,61.0,11.0,2.0,5.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,2
100,UnderGraduate,Single,47823.0,0.0,1.0,2013-07-23,0.0,53.0,1.0,5.0,2.0,1.0,10.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0
101,PhD,Single,34554.0,0.0,1.0,2014-03-30,43.0,41.0,1.0,6.0,2.0,0.0,5.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0
102,Graduation,Partner,85693.0,0.0,1.0,2013-04-20,59.0,386.0,172.0,183.0,185.0,132.0,111.0,2.0,9.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,1
103,PhD,Partner,65846.0,0.0,0.0,2013-05-17,68.0,562.0,81.0,276.0,80.0,40.0,81.0,1.0,6.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,1
104,Graduation,Partner,87195.0,0.0,0.0,2014-05-08,35.0,217.0,76.0,690.0,50.0,26.0,38.0,1.0,3.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,65.0,1
105,UnderGraduate,Partner,24594.0,1.0,0.0,2013-12-10,94.0,1.0,3.0,6.0,10.0,0.0,9.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0
106,Graduation,Partner,49096.0,1.0,1.0,2013-09-24,15.0,144.0,1.0,32.0,2.0,1.0,7.0,4.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0
107,Graduation,Partner,52413.0,0.0,2.0,2013-02-02,56.0,295.0,106.0,271.0,75.0,98.0,65.0,4.0,6.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,1
108,Graduation,Single,38557.0,1.0,0.0,2012-12-19,17.0,76.0,3.0,31.0,4.0,4.0,27.0,2.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0
109,Master,Partner,89058.0,0.0,0.0,2012-12-07,18.0,454.0,194.0,106.0,31.0,22.0,43.0,1.0,5.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,1
110,Graduation,Partner,77298.0,0.0,1.0,2013-11-02,46.0,425.0,115.0,292.0,23.0,35.0,79.0,1.0,6.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,1
111,PhD,Single,68126.0,0.0,0.0,2012-11-10,40.0,1332.0,17.0,311.0,23.0,51.0,86.0,1.0,7.0,4.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,33.0,2
112,Master,Partner,57288.0,0.0,1.0,2014-06-25,27.0,527.0,0.0,21.0,0.0,0.0,60.0,3.0,8.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,61.0,2
113,Graduation,Single,86037.0,0.0,0.0,2013-01-02,95.0,490.0,44.0,125.0,29.0,20.0,22.0,1.0,6.0,7.0,11.0,0.0,1.0,1.0,0.0,0.0,1.0,33.0,2
114,PhD,Partner,43974.0,1.0,0.0,2012-12-12,19.0,378.0,0.0,101.0,0.0,0.0,72.0,5.0,6.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,2
115,Graduation,Single,50785.0,1.0,1.0,2013-09-10,27.0,64.0,1.0,21.0,0.0,1.0,27.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0
116,Graduation,Partner,90765.0,0.0,0.0,2014-01-24,25.0,547.0,99.0,812.0,151.0,82.0,33.0,0.0,4.0,6.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,54.0,1
117,UnderGraduate,Partner,36550.0,1.0,0.0,2013-02-19,74.0,47.0,90.0,94.0,123.0,103.0,120.0,5.0,9.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,1
118,UnderGraduate,Partner,30753.0,1.0,1.0,2013-07-11,85.0,12.0,5.0,25.0,0.0,9.0,30.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0
119,Graduation,Partner,21918.0,1.0,0.0,2013-11-14,37.0,1.0,6.0,7.0,11.0,5.0,3.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0
120,Master,Partner,56129.0,0.0,1.0,2013-06-20,65.0,320.0,48.0,133.0,39.0,72.0,48.0,4.0,6.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,2
121,Master,Single,32557.0,1.0,0.0,2014-02-24,13.0,34.0,3.0,29.0,0.0,4.0,10.0,3.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,57.0,0
122,Master,Partner,19510.0,2.0,0.0,2013-09-04,63.0,9.0,0.0,7.0,3.0,4.0,7.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0
123,Graduation,Single,30992.0,1.0,0.0,2013-04-22,83.0,17.0,0.0,14.0,7.0,3.0,2.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0
124,Graduation,Single,101970.0,0.0,0.0,2013-03-12,69.0,722.0,27.0,102.0,44.0,72.0,168.0,0.0,6.0,8.0,13.0,0.0,1.0,1.0,1.0,0.0,1.0,41.0,1
125,UnderGraduate,Partner,71488.0,0.0,0.0,2013-02-18,87.0,162.0,33.0,124.0,40.0,28.0,172.0,2.0,3.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,2
126,Graduation,Single,79607.0,0.0,0.0,2013-04-21,37.0,450.0,133.0,951.0,173.0,0.0,216.0,1.0,3.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,40.0,1
127,Master,Partner,54348.0,1.0,1.0,2014-06-08,51.0,70.0,0.0,16.0,0.0,0.0,4.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0
128,PhD,Partner,52247.25135379061,0.0,1.0,2013-07-11,23.0,352.0,0.0,27.0,10.0,0.0,15.0,3.0,6.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,2
129,PhD,Partner,77376.0,1.0,1.0,2014-05-10,72.0,492.0,19.0,110.0,16.0,12.0,12.0,4.0,6.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,2
